,model,sentence,question,correct,incorrect,prompt_index,base_correct,base_incorrect,sent_type,quest_type
0,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.6115468750028583,0.388452982850495,0,0.29509248743713457,0.18744197364588194,GP_prob,simple_question
1,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.771516289499214,0.22848379767744953,1,0.5361465029109951,0.15877927024001787,GP_prob,simple_question
2,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.7184009366223094,0.28159899491595974,2,0.3736781864711691,0.1464744748135104,GP_prob,simple_question
3,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.7626918280894905,0.23730812072839141,3,0.5086823519730075,0.1582742190140351,GP_prob,simple_question
4,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.6150821153396322,0.38491792673515934,4,0.30974757349662063,0.1938397957989853,GP_prob,simple_question
5,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.7057671714981915,0.2942329181117957,5,0.4827158834663088,0.20124327361312747,GP_prob,simple_question
6,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.6372509359297069,0.3627491183725343,6,0.31511115968923953,0.1793740590581418,GP_prob,simple_question
7,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the memo near completion?,0.7660532275866743,0.23394684924994008,7,0.5133886582897489,0.15678500932393696,GP_prob,simple_question
8,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.13882163968170258,0.8611783421068182,0,0.08206218085843703,0.5090717259979236,GP_prob,GP_question
9,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.03531573346363591,0.9646842756010763,1,0.025038212248201755,0.6839435656778186,GP_prob,GP_question
10,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.09702191267541985,0.902978120846889,2,0.05949100370853866,0.5536797876993589,GP_prob,GP_question
11,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.045044690380567465,0.954955260057627,3,0.031212954620238244,0.6617200982469811,GP_prob,GP_question
12,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.13156915269311176,0.8684308026198977,4,0.07678313534733006,0.5068121295794228,GP_prob,GP_question
13,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.043494583352349264,0.9565053905985437,5,0.03022766327855584,0.6647476729683781,GP_prob,GP_question
14,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.11465765119366778,0.8853424544383941,6,0.06819183765999828,0.5265512266944334,GP_prob,GP_question
15,Qwen/Qwen2.5-14B,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.041634796367152296,0.9583652801346645,7,0.02865970786506357,0.6596998921147268,GP_prob,GP_question
16,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.8174419716056036,0.18255799566286623,0,0.38609864110819814,0.08622678725375452,GP_improb,simple_question
17,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.947991282311694,0.052008714421839325,1,0.6574493640436785,0.03606900073562589,GP_improb,simple_question
18,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.9070826860420809,0.09291731177058263,2,0.47980541128550414,0.04914902647603964,GP_improb,simple_question
19,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.9462182775319512,0.05378168194633366,3,0.6548452301869752,0.03722045747316259,GP_improb,simple_question
20,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.8720979718867099,0.127902038343436,4,0.46350786396318355,0.06797814109576064,GP_improb,simple_question
21,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.9407168535998345,0.0592831510549478,5,0.6471422515014709,0.04078233842142606,GP_improb,simple_question
22,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.8458885536515055,0.15411134946466282,6,0.4060622164940888,0.07397995277004121,GP_improb,simple_question
23,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the drawing near completion?,0.9517297969302305,0.04827027315059346,7,0.6464565029992961,0.03278728371470851,GP_improb,simple_question
24,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.8144681514552632,0.18553179676256093,0,0.4531276691708944,0.10322022945793918,GP_improb,GP_question
25,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.8700435656604046,0.12995643252727973,1,0.5720562790997061,0.08544674689901743,GP_improb,GP_question
26,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.8145612943097078,0.18543863633360935,2,0.4528444069494194,0.10309211134241458,GP_improb,GP_question
27,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.866477112057182,0.13352293093794643,3,0.5511807403442236,0.08493619779979511,GP_improb,GP_question
28,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.8589739162933785,0.14102608311339004,4,0.46918274242569014,0.07703028513314703,GP_improb,GP_question
29,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.8927310146397587,0.10726896959872079,5,0.5807088891487453,0.06977694430223913,GP_improb,GP_question
30,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.8259939504530251,0.17400600822385215,6,0.4804306622008495,0.10120875075322999,GP_improb,GP_question
31,Qwen/Qwen2.5-14B,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.8802228129334544,0.11977712499324333,7,0.5555971299193084,0.07560339061242782,GP_improb,GP_question
32,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the memo near completion?,0.6792680412957317,0.3207319467187425,0,0.3242700993061085,0.15311154381515418,nonGP_prob,simple_question
33,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the memo near completion?,0.8536855459016799,0.14631453560506744,1,0.6093031358494017,0.10442944232530382,nonGP_prob,simple_question
34,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the memo near completion?,0.7576456490955152,0.24235432930120737,2,0.37611597143501285,0.12031130506559212,nonGP_prob,simple_question
35,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the memo near completion?,0.8591220719897557,0.1408778458326498,3,0.5896235859264927,0.09668579899667001,nonGP_prob,simple_question
36,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the memo near completion?,0.6926117679176969,0.3073881524845431,4,0.33821444558626546,0.15010300035330604,nonGP_prob,simple_question
37,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the memo near completion?,0.8006510272443919,0.19934896935714413,5,0.556068696009973,0.13845198958382485,nonGP_prob,simple_question
38,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the memo near completion?,0.7124404496352099,0.2875594819439222,6,0.3310674358964292,0.13362740967668885,nonGP_prob,simple_question
39,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the memo near completion?,0.822009446013098,0.17799054804171235,7,0.5682781479381411,0.12304984902448224,nonGP_prob,simple_question
40,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.08297311160779541,0.9170268619332163,0,0.044326845839682966,0.4899045742720318,nonGP_prob,GP_question
41,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.01550198933220533,0.9844980164551949,1,0.011753747913050006,0.7464552912697222,nonGP_prob,GP_question
42,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.04691179679313409,0.9530882731613559,2,0.02748420212638697,0.5583855806465721,nonGP_prob,GP_question
43,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.022459049093746734,0.9775408930554015,3,0.01654426693073536,0.7200971166494909,nonGP_prob,GP_question
44,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.07396269516208831,0.9260372568531423,4,0.039913801774426924,0.4997339011398836,nonGP_prob,GP_question
45,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.022015550171486827,0.9779844860583466,5,0.01625958630993521,0.7222905451021973,nonGP_prob,GP_question
46,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.08175348601477375,0.918246465689375,6,0.04621940715200973,0.51913148686684,nonGP_prob,GP_question
47,Qwen/Qwen2.5-14B,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.023067153020817348,0.976932812431965,7,0.016978495187450305,0.7190678937324861,nonGP_prob,GP_question
48,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the drawing near completion?,0.830912819057744,0.1690870532246121,0,0.38276454756799083,0.07789087829021804,nonGP_improb,simple_question
49,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the drawing near completion?,0.9415030274089915,0.05849694035041361,1,0.6542773122959282,0.040651192737877,nonGP_improb,simple_question
50,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the drawing near completion?,0.8805695051648712,0.119430452936229,2,0.44849430481030694,0.06082867702616407,nonGP_improb,simple_question
51,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the drawing near completion?,0.943053756580337,0.05694622678826089,3,0.6441935303623723,0.038899577554646014,nonGP_improb,simple_question
52,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the drawing near completion?,0.8516850608656625,0.14831504533843826,4,0.4332784511573138,0.07545244076711735,nonGP_improb,simple_question
53,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the drawing near completion?,0.9251713573650129,0.07482870785851252,5,0.6249334360418004,0.05054519158309914,nonGP_improb,simple_question
54,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the drawing near completion?,0.8354051248985641,0.1645949662799152,6,0.3762958278712425,0.07413936387397699,nonGP_improb,simple_question
55,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the drawing near completion?,0.9282638154843106,0.07173626600180269,7,0.6217208434407802,0.048046612601286426,nonGP_improb,simple_question
56,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,0.8767854148819441,0.12321453792156589,0,0.4899529973083102,0.06885302820511807,nonGP_improb,GP_question
57,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,0.9311083991318854,0.06889173673033877,1,0.6451156790966263,0.04773143579495098,nonGP_improb,GP_question
58,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,0.8971275163888063,0.10287242970873223,2,0.5160477476272569,0.05917451465814061,nonGP_improb,GP_question
59,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,0.9368814236037595,0.0631185125684004,3,0.6166448318541888,0.04154389648017798,nonGP_improb,GP_question
60,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,0.9179299747757134,0.08207008444844632,4,0.49921084307006625,0.04463333263556013,nonGP_improb,GP_question
61,Qwen/Qwen2.5-14B,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,0.9486347505726748,0.05136525025589567,5,0.6306478211976525,0.03414737266309498,nonGP_improb,GP_question
