,id,age,country,practice_1,practice_2,sentence,question,set_id,sent_type,quest_type,ManipulationType,SentenceType,time,correct,sent_quest_type,trans_factor,diffs,corr,plausibility,isReflexive
0,830c6b4bbdd11c811ea0489311dc3542,44,United States,True,True,The Bible fell off the table while Susan wrote.,Did Susan write the Bible?,set_5,nonGP_improb,GP_question,improb,nonGP,1767,True,The Bible fell off the table while Susan wrote._GP_question,0.336482988278251,6.0,1,1.0,0
1,29076d1cd2b2ae5055fbbae29c84f0d1,21,England,True,True,The Bible fell off the table while Susan wrote.,Did Susan write the Bible?,set_5,nonGP_improb,GP_question,improb,nonGP,1928,True,The Bible fell off the table while Susan wrote._GP_question,0.336482988278251,6.0,1,1.0,0
2,f7059f2b38f090c26b0b98931b17f49f,37,United States,True,True,The Bible fell off the table while Susan wrote.,Did Susan write the Bible?,set_5,nonGP_improb,GP_question,improb,nonGP,2344,True,The Bible fell off the table while Susan wrote._GP_question,0.336482988278251,6.0,1,1.0,0
3,26ac513745c60ec761228bd0e9374cbf,27,UK,True,True,The Bible fell off the table while Susan wrote.,Did Susan write the Bible?,set_5,nonGP_improb,GP_question,improb,nonGP,1650,False,The Bible fell off the table while Susan wrote._GP_question,0.336482988278251,6.0,0,1.0,0
4,5188f3fe6966872f4217e623144901e7,34,United Kingdom,True,True,The Bible fell off the table while Susan wrote.,Did Susan write the Bible?,set_5,nonGP_improb,GP_question,improb,nonGP,1192,False,The Bible fell off the table while Susan wrote._GP_question,0.336482988278251,6.0,0,1.0,0
5,182faea09aef08ee49826963517c6392,54,uk,True,True,The Bible fell off the table while Susan wrote.,Did Susan write the Bible?,set_5,nonGP_improb,GP_question,improb,nonGP,3328,True,The Bible fell off the table while Susan wrote._GP_question,0.336482988278251,6.0,1,1.0,0
6,ff51491d46331c74add1b9f2506a453f,48,USA,True,True,The Bible fell off the table while Susan wrote.,Did Susan write the Bible?,set_5,nonGP_improb,GP_question,improb,nonGP,3909,True,The Bible fell off the table while Susan wrote._GP_question,0.336482988278251,6.0,1,1.0,0
7,cac1216fa2bea2d30de41945c79daa57,36,GB,True,True,The Bible fell off the table while Susan wrote.,Did Susan write the Bible?,set_5,nonGP_improb,GP_question,improb,nonGP,2952,True,The Bible fell off the table while Susan wrote._GP_question,0.336482988278251,6.0,1,1.0,0
8,ba5555d64d6a06d6b5629b6211024b55,54,United Kingdom,True,True,The Bible fell off the table while Susan wrote.,Did Susan write the Bible?,set_5,nonGP_improb,GP_question,improb,nonGP,2226,True,The Bible fell off the table while Susan wrote._GP_question,0.336482988278251,6.0,1,1.0,0
9,b9bc7b1fdc6150bdcb10d51560649438,53,Trinidad,True,True,The Bible fell off the table while Susan wrote.,Did Susan write the Bible?,set_5,nonGP_improb,GP_question,improb,nonGP,3016,True,The Bible fell off the table while Susan wrote._GP_question,0.336482988278251,6.0,1,1.0,0
