,model,sentence,question,correct,incorrect,prompt_index,base_correct,base_incorrect,sent_type,quest_type
0,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,0,1.0,0.0,GP_prob,simple_question
1,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,1,1.0,0.0,GP_prob,simple_question
2,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,2,1.0,0.0,GP_prob,simple_question
3,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,3,1.0,0.0,GP_prob,simple_question
4,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,4,1.0,0.0,GP_prob,simple_question
5,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,5,1.0,0.0,GP_prob,simple_question
6,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,6,1.0,0.0,GP_prob,simple_question
7,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,7,1.0,0.0,GP_prob,simple_question
8,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,0,0.0,1.0,GP_prob,GP_question
9,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,1,0.0,1.0,GP_prob,GP_question
10,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,2,0.0,1.0,GP_prob,GP_question
11,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,3,0.0,1.0,GP_prob,GP_question
12,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,4,0.0,1.0,GP_prob,GP_question
13,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,5,0.0,1.0,GP_prob,GP_question
14,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,6,0.0,1.0,GP_prob,GP_question
15,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,7,0.0,1.0,GP_prob,GP_question
16,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,0,1.0,0.0,GP_improb,simple_question
17,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,1,1.0,0.0,GP_improb,simple_question
18,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,2,1.0,0.0,GP_improb,simple_question
19,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,3,1.0,0.0,GP_improb,simple_question
20,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,4,1.0,0.0,GP_improb,simple_question
21,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,5,1.0,0.0,GP_improb,simple_question
22,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,6,1.0,0.0,GP_improb,simple_question
23,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,7,1.0,0.0,GP_improb,simple_question
24,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,0,1.0,0.0,GP_improb,GP_question
25,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,1,1.0,0.0,GP_improb,GP_question
26,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,2,1.0,0.0,GP_improb,GP_question
27,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,3,1.0,0.0,GP_improb,GP_question
28,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,4,1.0,0.0,GP_improb,GP_question
29,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,5,1.0,0.0,GP_improb,GP_question
30,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,6,1.0,0.0,GP_improb,GP_question
31,Qwen/Qwen2.5-32B-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,7,1.0,0.0,GP_improb,GP_question
32,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,0,1.0,0.0,nonGP_prob,simple_question
33,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,1,1.0,0.0,nonGP_prob,simple_question
34,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,2,1.0,0.0,nonGP_prob,simple_question
35,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,3,1.0,0.0,nonGP_prob,simple_question
36,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,4,1.0,0.0,nonGP_prob,simple_question
37,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,5,1.0,0.0,nonGP_prob,simple_question
38,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,6,1.0,0.0,nonGP_prob,simple_question
39,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,7,1.0,0.0,nonGP_prob,simple_question
40,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.0,1.0,0,0.0,1.0,nonGP_prob,GP_question
41,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.0,1.0,1,0.0,1.0,nonGP_prob,GP_question
42,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.0,1.0,2,0.0,1.0,nonGP_prob,GP_question
43,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.0,1.0,3,0.0,1.0,nonGP_prob,GP_question
44,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.0,1.0,4,0.0,1.0,nonGP_prob,GP_question
45,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.0,1.0,5,0.0,1.0,nonGP_prob,GP_question
46,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.0,1.0,6,0.0,1.0,nonGP_prob,GP_question
47,Qwen/Qwen2.5-32B-Instruct,The memo neared completion while the secretary typed.,Did the secretary type the memo?,0.0,1.0,7,0.0,1.0,nonGP_prob,GP_question
48,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the drawing near completion?,1.0,0.0,0,1.0,0.0,nonGP_improb,simple_question
49,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the drawing near completion?,1.0,0.0,1,1.0,0.0,nonGP_improb,simple_question
50,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the drawing near completion?,1.0,0.0,2,1.0,0.0,nonGP_improb,simple_question
51,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the drawing near completion?,1.0,0.0,3,1.0,0.0,nonGP_improb,simple_question
52,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the drawing near completion?,1.0,0.0,4,1.0,0.0,nonGP_improb,simple_question
53,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the drawing near completion?,1.0,0.0,5,1.0,0.0,nonGP_improb,simple_question
54,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the drawing near completion?,1.0,0.0,6,1.0,0.0,nonGP_improb,simple_question
55,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the drawing near completion?,1.0,0.0,7,1.0,0.0,nonGP_improb,simple_question
56,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,1.0,0.0,0,1.0,0.0,nonGP_improb,GP_question
57,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,1.0,0.0,1,1.0,0.0,nonGP_improb,GP_question
58,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,1.0,0.0,2,1.0,0.0,nonGP_improb,GP_question
59,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,1.0,0.0,3,1.0,0.0,nonGP_improb,GP_question
60,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,1.0,0.0,4,1.0,0.0,nonGP_improb,GP_question
61,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,1.0,0.0,5,1.0,0.0,nonGP_improb,GP_question
62,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,1.0,0.0,6,1.0,0.0,nonGP_improb,GP_question
63,Qwen/Qwen2.5-32B-Instruct,The drawing neared completion while the secretary typed.,Did the secretary type the drawing?,1.0,0.0,7,1.0,0.0,nonGP_improb,GP_question
64,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,1.0,0.0,0,1.0,0.0,GP_prob,simple_question
65,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,1.0,0.0,1,1.0,0.0,GP_prob,simple_question
66,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,1.0,0.0,2,1.0,0.0,GP_prob,simple_question
67,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,1.0,0.0,3,1.0,0.0,GP_prob,simple_question
68,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,1.0,0.0,4,1.0,0.0,GP_prob,simple_question
69,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,1.0,0.0,5,1.0,0.0,GP_prob,simple_question
70,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,1.0,0.0,6,1.0,0.0,GP_prob,simple_question
71,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the canoe head toward a waterfall?,1.0,0.0,7,1.0,0.0,GP_prob,simple_question
72,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,0.0,1.0,0,0.0,1.0,GP_prob,GP_question
73,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,0.0,1.0,1,0.0,1.0,GP_prob,GP_question
74,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,0.0,1.0,2,0.0,1.0,GP_prob,GP_question
75,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,0.0,1.0,3,0.0,1.0,GP_prob,GP_question
76,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,0.0,1.0,4,0.0,1.0,GP_prob,GP_question
77,Qwen/Qwen2.5-32B-Instruct,While the explorer paddled the canoe headed toward a waterfall.,Did the explorer paddle the canoe?,0.0,1.0,5,0.0,1.0,GP_prob,GP_question
