,model,sentence,question,correct,incorrect,prompt_index,base_correct,base_incorrect,sent_type,quest_type
0,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,0,1.0,0.0,GP_prob,simple_question
1,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,1,1.0,0.0,GP_prob,simple_question
2,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,2,1.0,0.0,GP_prob,simple_question
3,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,3,1.0,0.0,GP_prob,simple_question
4,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,4,1.0,0.0,GP_prob,simple_question
5,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,5,1.0,0.0,GP_prob,simple_question
6,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,6,1.0,0.0,GP_prob,simple_question
7,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the memo near completion?,1.0,0.0,7,1.0,0.0,GP_prob,simple_question
8,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,0,0.0,0.914494514465332,GP_prob,GP_question
9,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,1,0.0,1.0,GP_prob,GP_question
10,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,2,0.0,1.0,GP_prob,GP_question
11,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,3,0.0,1.0,GP_prob,GP_question
12,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,4,0.0,1.0,GP_prob,GP_question
13,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,5,0.0,1.0,GP_prob,GP_question
14,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,6,0.0,1.0,GP_prob,GP_question
15,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the memo neared completion.,Did the secretary type the memo?,0.0,1.0,7,0.0,1.0,GP_prob,GP_question
16,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,0,1.0,0.0,GP_improb,simple_question
17,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,1,1.0,0.0,GP_improb,simple_question
18,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,2,1.0,0.0,GP_improb,simple_question
19,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,3,1.0,0.0,GP_improb,simple_question
20,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,4,1.0,0.0,GP_improb,simple_question
21,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,5,1.0,0.0,GP_improb,simple_question
22,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,6,1.0,0.0,GP_improb,simple_question
23,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the drawing near completion?,1.0,0.0,7,1.0,0.0,GP_improb,simple_question
24,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,0,1.0,0.0,GP_improb,GP_question
25,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.0,1.0,1,0.0,1.0,GP_improb,GP_question
26,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.0,1.0,2,0.0,1.0,GP_improb,GP_question
27,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.0,1.0,3,0.0,1.0,GP_improb,GP_question
28,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,1.0,0.0,4,1.0,0.0,GP_improb,GP_question
29,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.0,1.0,5,0.0,1.0,GP_improb,GP_question
30,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,,,6,0.0,0.0,GP_improb,GP_question
31,meta-llama/Llama-3.2-11B-Vision-Instruct,While the secretary typed the drawing neared completion.,Did the secretary type the drawing?,0.0,1.0,7,0.0,1.0,GP_improb,GP_question
32,meta-llama/Llama-3.2-11B-Vision-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,0,0.8918110132217407,0.0,nonGP_prob,simple_question
33,meta-llama/Llama-3.2-11B-Vision-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,1,1.0,0.0,nonGP_prob,simple_question
34,meta-llama/Llama-3.2-11B-Vision-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,2,1.0,0.0,nonGP_prob,simple_question
35,meta-llama/Llama-3.2-11B-Vision-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,3,1.0,0.0,nonGP_prob,simple_question
36,meta-llama/Llama-3.2-11B-Vision-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,4,1.0,0.0,nonGP_prob,simple_question
37,meta-llama/Llama-3.2-11B-Vision-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,5,1.0,0.0,nonGP_prob,simple_question
38,meta-llama/Llama-3.2-11B-Vision-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,6,0.8892728090286255,0.0,nonGP_prob,simple_question
39,meta-llama/Llama-3.2-11B-Vision-Instruct,The memo neared completion while the secretary typed.,Did the memo near completion?,1.0,0.0,7,1.0,0.0,nonGP_prob,simple_question
40,meta-llama/Llama-3.2-11B-Vision-Instruct,The memo neared completion while the secretary typed.,Did the secretary type the memo?,1.0,0.0,0,1.0,0.0,nonGP_prob,GP_question
41,meta-llama/Llama-3.2-11B-Vision-Instruct,The memo neared completion while the secretary typed.,Did the secretary type the memo?,1.0,0.0,1,1.0,0.0,nonGP_prob,GP_question
